date,place_name,race_num,race_type_detail,race_title_full,bank_length,distance,start_time,payout_yen,payout_pop,line_prediction,url,place_code,round,race_type,car_count,c1_existence,c1_name,c1_area,c1_age,c1_grad,c1_class,c1_leg,c1_score,c1_win,c1_2ren,c1_b,c1_rank,c2_existence,c2_name,c2_area,c2_age,c2_grad,c2_class,c2_leg,c2_score,c2_win,c2_2ren,c2_b,c2_rank,c3_existence,c3_name,c3_area,c3_age,c3_grad,c3_class,c3_leg,c3_score,c3_win,c3_2ren,c3_b,c3_rank,c4_existence,c4_name,c4_area,c4_age,c4_grad,c4_class,c4_leg,c4_score,c4_win,c4_2ren,c4_b,c4_rank,c5_existence,c5_name,c5_area,c5_age,c5_grad,c5_class,c5_leg,c5_score,c5_win,c5_2ren,c5_b,c5_rank,c6_existence,c6_name,c6_area,c6_age,c6_grad,c6_class,c6_leg,c6_score,c6_win,c6_2ren,c6_b,c6_rank,c7_existence,c7_name,c7_area,c7_age,c7_grad,c7_class,c7_leg,c7_score,c7_win,c7_2ren,c7_b,c7_rank
2026-04-02,宇都宮,04,P1,宇都宮競輪 レース詳細 | ＦＩＢＡ３×３宇都宮・Ｋドリ杯 4R Ａ級選抜 | 2026年04月02日【楽天Kドリームス】,400,1625,22:01,0,0,← 3自在 1追込 | 2押え先 5追込 | 7押え先 4追込 6追込,https://keirin.kdreams.jp/utsunomiya/racedetail/2420260401020004/,24,選抜,P1,7,1,小笠原 昭太,青森,50,76,A1,追,86.00,20.8,33.3,0,0,1,堀越 翔己,福岡,27,123,A1,逃,84.93,26.6,40.0,6,0,1,平山 優太,福島,26,119,A2,両,83.30,13.6,13.6,1,0,1,赤井 学,千葉,52,77,A2,追,82.11,5.5,16.6,0,0,1,楢原 由将,福岡,38,94,A2,両,82.00,0.0,9.0,0,0,1,高橋 健太,静岡,48,80,A2,追,81.38,5.5,5.5,0,0,1,戸塚 涼介,埼玉,32,111,A2,逃,80.66,9.5,23.8,14,0
2026-04-02,玉野,05,P2-A12,玉野競輪 レース詳細 | ガッツ玉ちゃん杯 5R Ａ級初日特選 | 2026年04月02日【楽天Kドリームス】,400,2025,17:24,0,0,← 7先行 1追込 | 2押え先 4追込 5追込 | 3押え先 6追込,https://keirin.kdreams.jp/tamano/racedetail/6120260402010005/,61,特選,P2,7,1,伊藤 世哉,三重,45,87,A1,追,93.19,19.0,47.6,0,1,1,北井 佑季,神奈川,36,119,A1,逃,96.23,82.3,94.1,12,0,1,中川 聖大,福岡,27,121,A1,逃,94.23,23.8,71.4,12,0,1,木暮 安由,群馬,41,92,A1,追,93.75,23.5,47.0,0,0,1,小橋 秀幸,青森,47,85,A1,追,92.08,25.0,37.5,0,2,1,藤原 浩,高知,46,87,A1,追,90.47,17.6,52.9,0,0,1,中釜 健次,大阪,27,121,A1,逃,90.95,33.3,47.6,5,2
2026-04-02,岸和田,09,P2-S,岸和田競輪 レース詳細 | 前検日コメならウィンチケット杯 9R Ｓ級選抜 | 2026年04月02日【楽天Kドリームス】,400,2025,14:23,0,0,← 5先行 4追込 2追込 | 3自在 | 7押え先 1追込 | 6自在,https://keirin.kdreams.jp/kishiwada/racedetail/5620260401020009/,56,選抜,P2,7,1,尾形 鉄馬,宮城,36,107,S2,追,100.70,5.2,21.0,1,0,1,伊勢崎 彰大,千葉,47,81,S2,追,97.51,0.0,13.7,0,0,1,横関 裕樹,岐阜,37,99,S2,両,101.86,18.1,22.7,1,0,1,石塚 孝幸,神奈川,46,89,S1,追,100.46,0.0,6.6,0,0,1,望月 湧世,静岡,22,123,S2,逃,97.05,5.5,22.2,8,0,1,吉武 信太朗,愛媛,32,107,S2,逃,95.08,4.0,4.0,3,0,1,磯島 成介,青森,26,115,S2,逃,102.00,12.5,41.6,12,0
2026-04-02,宇都宮,07,P1,宇都宮競輪 レース詳細 | ＦＩＢＡ３×３宇都宮・Ｋドリ杯 7R Ａ級準決勝 | 2026年04月02日【楽天Kドリームス】,400,1625,23:21,0,0,← 1先行 6追込 7追込 | 4押え先 2追込 | 5押え先 3追込,https://keirin.kdreams.jp/utsunomiya/racedetail/2420260401020007/,24,決勝,P1,7,1,片桐 善也,新潟,31,117,A1,逃,93.00,28.5,57.1,9,0,1,大崎 飛雄馬,愛媛,47,88,A1,追,91.50,11.1,16.6,0,0,1,稲葉 一真,静岡,36,100,A1,追,90.42,31.2,56.2,0,0,1,田川 翔琉,熊本,28,119,A1,逃,87.00,25.0,45.8,11,0,1,添田 龍児,神奈川,25,121,A1,逃,86.66,18.5,40.7,17,0,1,星野 辰也,栃木,40,95,A1,追,86.57,23.8,33.3,0,2,1,木村 貴宏,茨城,48,80,A2,追,85.68,0.0,15.0,0,3
2026-04-02,岸和田,07,P2-S,岸和田競輪 レース詳細 | 前検日コメならウィンチケット杯 7R Ｓ級一般 | 2026年04月02日【楽天Kドリームス】,400,2025,13:23,0,0,← 2自在 6追込 | 1追上 5追込 | 3押え先 4追込 7追込,https://keirin.kdreams.jp/kishiwada/racedetail/5620260401020007/,56,一般,P2,7,1,小酒 大勇,宮崎,32,103,S2,両,95.44,8.0,12.0,0,0,1,中村 弘之輔,北海道,34,109,S2,両,95.77,4.3,4.3,0,0,1,牧田 悠生,新潟,26,123,S2,逃,95.41,0.0,4.1,5,0,1,山下 渡,茨城,42,91,S2,追,105.35,25.0,40.0,0,0,1,桑原 亮,福岡,41,91,S2,追,96.27,0.0,6.8,0,0,1,安部 貴之,宮城,42,92,S2,追,94.75,0.0,4.7,0,0,1,芦澤 辰弘,茨城,37,95,S1,追,98.55,9.5,38.0,0,0
2026-04-02,武雄,06,P2-Chal,武雄競輪 レース詳細 | オッズ・パーク杯 6R チャレンジ予選 | 2026年04月02日【楽天Kドリームス】,400,1625,10:20,0,0,← 1先行 7追込 | 6自在 2追込 | 4押え先 3追込 5追込,https://keirin.kdreams.jp/takeo/racedetail/8420260402010006/,84,予選,P2,7,1,牧田 賢也,福島,29,111,A3,逃,74.16,33.3,38.8,6,0,1,梶原 秀庸,大阪,51,77,A3,追,67.95,0.0,22.7,0,0,1,木下 章,長野,57,61,A3,両,71.66,28.5,28.5,0,3,1,菱沼 元樹,埼玉,31,111,A3,逃,71.22,16.6,50.0,12,0,1,長崎 達也,神奈川,44,89,A3,両,68.50,4.1,12.5,0,0,1,山村 慮太,大阪,39,97,A3,両,66.55,11.1,18.5,0,0,1,桂馬 将人,福島,44,89,A3,両,70.66,14.2,28.5,0,3
2026-04-02,京王閣,06,P2-S,京王閣競輪 レース詳細 | Ｓ市原Ｃ＆デイリースポーツ杯 6R Ｓ級一般 | 2026年04月02日【楽天Kドリームス】,400,2025,18:00,0,0,← 1先行 4追込 7追込 | 2押え先 5追込 6追込 | 3自在,https://keirin.kdreams.jp/keiokaku/racedetail/2720260401020006/,27,一般,P2,7,1,小林 稜武,栃木,32,113,S2,逃,94.73,3.8,11.5,7,0,1,城戸 俊潔,岡山,27,115,S2,逃,100.00,21.7,43.4,8,0,1,神尾 敬冬,静岡,26,123,S2,逃,93.07,3.8,7.6,5,0,1,朝倉 佳弘,東京,45,90,S1,追,99.43,13.0,21.7,0,0,1,坂本 修一,岡山,38,99,S2,追,97.96,11.5,19.2,0,0,1,鈴木 幸紀,三重,49,78,S2,追,91.93,0.0,0.0,0,0,1,野中 祐志,埼玉,38,98,S2,追,97.27,0.0,0.0,0,5
2026-04-02,大垣,05,P3,大垣競輪 レース詳細 | おトクにＰＬＡＹオッズパーク杯 5R ガールズ予選２ | 2026年04月02日【楽天Kドリームス】,400,1625,12:46,0,0,← 1自在 | 3自在 | 2自在 | 6自在 | 7自在 | 5自在 | 4追上,https://keirin.kdreams.jp/ogaki/racedetail/4420260401020005/,44,予選,P3,7,1,成海 綾香,沖縄,25,128,L1,両,46.14,4.7,4.7,0,0,1,保立 沙織,神奈川,42,118,L1,両,45.22,0.0,0.0,0,2,1,宮地 寧々,岐阜,30,110,L1,両,51.26,8.6,26.0,3,0,1,蛯原 杏奈,北海道,26,120,L1,追,47.84,0.0,8.0,0,0,1,藤田 まりあ,埼玉,26,116,L1,両,54.95,33.3,71.4,4,0,1,西脇 美唯奈,愛知,24,120,L1,両,52.36,13.6,31.8,5,0,1,野口 諭実可,大分,33,102,L1,両,48.16,0.0,16.6,1,0
2026-04-02,名古屋,01,P3,名古屋競輪 レース詳細 | 秀長МＤ ＣＴＣなら３分前まで 1R ガールズ予選２ | 2026年04月02日【楽天Kドリームス】,400,1625,20:57,0,0,-,https://keirin.kdreams.jp/nagoya/racedetail/4220260401020001/,42,予選,P3,7,1,石井 寛子,東京,40,104,L1,両,56.33,55.5,94.4,0,0,1,岡田 優歩,和歌山,22,128,L1,両,54.35,25.0,60.0,11,0,1,三森 彩桜,福島,26,116,L1,追,51.57,0.0,23.8,0,2,1,村田 奈穂,熊本,34,116,L1,両,51.23,9.5,28.5,0,0,1,普久原 美海,栃木,21,126,L1,追,48.50,0.0,3.5,0,0,1,中原 恭恵,広島,39,126,L1,両,46.20,0.0,4.7,0,0,1,羽田野 愛花,大分,24,124,L1,追,45.07,0.0,0.0,0,0
2026-04-02,武雄,04,P2-Chal,武雄競輪 レース詳細 | オッズ・パーク杯 4R チャレンジ予選 | 2026年04月02日【楽天Kドリームス】,400,1625,09:40,0,0,← 7先行 1追込 | 4押え先 2追込 | 6追上 | 5押え先 3追込,https://keirin.kdreams.jp/takeo/racedetail/8420260402010004/,84,予選,P2,7,1,後田 康成,長崎,53,75,A3,追,69.45,0.0,10.0,0,0,1,古城 英之,広島,50,78,A3,追,70.09,18.1,27.2,0,0,1,大澤 裕之,埼玉,53,71,A3,追,72.37,14.8,29.6,0,0,1,土居 佑次,高知,28,113,A3,逃,70.55,27.7,38.8,4,0,1,里見 恒平,千葉,49,99,A3,逃,72.44,24.1,44.8,4,0,1,濱田 昭一郎,鹿児島,57,67,A3,追,66.37,0.0,4.1,0,0,1,永田 秀佑,長崎,34,103,A3,両,67.21,14.2,28.5,2,4
